pid,experimental_block,state,congressional_district,treatment_assignment,estimated_turnout_2018,clinton_votes_2016,trump_votes_2016,total_votes_2016,house_dem_votes_2018,house_rep_votes_2018,house_total_votes_2018,number_registered_voters,number_targets
1,1223,WA,3,Treatment,175.52772,61,116,192,72,110,182,298,298
2,621,MN,1,Treatment,206.3097,68,177,269,87,148,235,286,198
3,468,IL,14,Treatment,679.5591,261,373,708,268,329,597,1008,434
4,1140,VA,5,Treatment,516.25542,322,186,539,279,163,442,977,212
5,1190,VA,2,Treatment,1720.54782,710,1077,1936,763,902,1665,3150,1298
6,1181,VA,7,Treatment,2325.70101,889,783,1828,1517,914,2476,4063,2207
7,376,IL,13,Treatment,1127.32584,667,384,1126,613,396,1009,1515,0
8,947,PA,10,Treatment,1326.80757,667,641,1382,676,577,1255,1743,15
9,1111,VA,5,Treatment,939.5199,271,580,887,234,511,745,1447,380
10,1252,WA,3,Control,625.13013,425,257,744,478,222,700,1517,1449
11,841,OH,1,Control,536.30331,636,43,697,478,33,515,1249,1133
12,459,IL,14,Control,531.23361,251,274,569,282,242,524,821,374
13,778,NV,3,Treatment,690.02745,548,389,1016,507,308,863,1524,1251
14,1273,WA,5,Treatment,132.08181,40,91,135,51,87,138,177,62
15,749,NV,3,Treatment,506.35854,318,355,710,289,290,603,886,828
16,458,IL,13,Treatment,606.18906,191,418,648,171,371,543,894,1
17,1247,WA,3,Treatment,855.27516,356,511,938,387,518,905,1428,1111
18,1034,PA,10,Treatment,701.03244,481,286,815,510,245,755,1084,60
19,1127,VA,1,Treatment,2212.45191,919,1329,2385,860,1098,1958,3953,304
20,825,OH,1,Treatment,554.4033,103,474,601,107,393,515,769,660
21,261,FL,16,Treatment,3360.90924,1635,1810,3556,1486,1935,3448,4320,2624
22,1020,PA,7,Treatment,424.13394,364,218,595,301,128,439,855,0
23,401,IL,12,Treatment,473.5461,203,346,580,190,198,412,1039,899
24,941,PA,10,Treatment,2021.09202,991,1351,2463,1003,1023,2027,3512,58
25,543,MN,3,Treatment,2506.0056,1371,1639,3380,1499,1590,3095,3842,1945
26,467,IL,6,Treatment,420.82767,179,226,434,178,191,369,614,133
27,550,MN,8,Treatment,795.49269,422,458,972,196,165,374,1057,290
28,1108,VA,7,Treatment,1269.54189,537,712,1347,554,683,1249,1853,453
29,370,IL,12,Treatment,386.11635,141,252,417,144,198,361,621,439
30,1176,VA,5,Treatment,984.30225,347,665,1067,370,546,916,1520,685
31,1252,WA,3,Treatment,1156.90167,663,427,1175,707,497,1204,1735,906
32,661,NV,4,Treatment,833.8689,914,353,1337,829,270,1136,2194,1163
33,421,IL,14,Treatment,645.78174,393,344,814,420,283,703,1294,478
34,864,OH,12,Treatment,664.2855,172,503,696,167,446,623,883,261
35,338,IL,12,Treatment,403.41525,109,297,434,125,234,368,714,677
36,999,PA,16,Treatment,145.38687,65,108,181,77,79,158,246,49
37,362,IL,12,Treatment,701.64003,203,500,740,230,359,603,1053,1002
38,452,IL,6,Control,462.68946,231,185,449,234,162,396,671,142
39,1106,VA,10,Treatment,1544.51184,402,1105,1582,401,989,1390,2434,691
40,1041,PA,11,Control,1265.24232,276,1124,1458,260,940,1200,1915,1504
41,328,IL,14,Treatment,562.14846,403,283,746,399,222,621,1245,493
42,1252,WA,5,Treatment,598.81542,454,185,725,525,196,721,1407,26
43,411,IL,14,Treatment,1098.435,556,626,1236,560,511,1071,1897,384
44,958,PA,16,Treatment,1042.28646,656,517,1229,681,334,1027,1873,380
45,887,OH,1,Treatment,774.26316,162,576,769,160,490,668,971,577
46,342,IL,12,Treatment,370.79889,155,250,442,153,164,327,713,608
47,537,MN,8,Treatment,203.3814,130,83,237,134,96,245,283,60
48,911,PA,7,Treatment,574.5789,704,272,1004,481,174,685,1771,13
49,1282,WA,5,Control,28.75926,57,24,92,90,27,117,145,2
50,548,MN,2,Treatment,168.85068,71,156,251,86,141,230,277,253
51,1179,VA,5,Treatment,1455.75597,654,556,1286,668,573,1241,1820,975
52,1145,VA,1,Treatment,1920.28626,632,1083,1827,736,1079,1815,3294,929
53,1130,VA,5,Control,353.28972,199,162,374,159,142,301,588,203
54,653,MN,8,Treatment,42.35457,5,51,67,8,40,50,72,18
55,1149,VA,5,Treatment,1135.20774,558,713,1312,477,578,1055,2176,434
56,749,NV,3,Treatment,416.68161,251,288,570,279,240,540,745,547
57,568,MN,1,Treatment,117.02235,24,108,147,31,84,115,158,108
58,430,IL,12,Treatment,412.28529,397,92,503,304,62,384,1008,813
59,384,IL,6,Treatment,430.44849,292,156,483,286,157,443,815,324
60,1160,VA,2,Treatment,1898.45688,894,1077,2161,963,945,1908,3970,1341
61,1012,PA,7,Control,2412.47028,823,1885,2824,822,1519,2405,3471,222
62,1215,WA,5,Treatment,342.62142,372,362,827,233,159,392,1111,51
63,270,FL,18,Treatment,899.02938,657,521,1212,556,492,1059,1543,544
